Primary Purpose,Design Style,Furniture Type,Room Size,Dimension Constraints,Budget,Eco-Friendly,Storage Needs,Easy Assembly,Children or Pets,Comfort vs Practicality,Specific Requests,Recommended Furniture
Work,Industrial,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Sleep,Rustic,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,No,Practical,Durable,"['Sofa', 'Lamp']"
Work,Rustic,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table', 'Table']"
Work,Modern,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Practical,Durable,"['Sofa', 'Table', 'Lamp']"
Play,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Sleep,Industrial,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,No,Yes,Practical,None,"['Sofa', 'Lamp', 'Table']"
Sleep,Rustic,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'TV']"
Play,Minimalist,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Dining,Modern,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Work,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Table']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Table', 'Chair']"
Work,Industrial,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Table']"
Work,Minimalist,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Dining,Modern,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Table']"
Work,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Table']"
Play,Industrial,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Comfortable,None,"['Sofa', 'Lamp', 'Table', 'Chair']"
Play,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Chair']"
Sleep,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Relax,Traditional,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'TV']"
Work,Traditional,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Table', 'Table']"
Work,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Table', 'Table']"
Dining,Minimalist,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,No,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Play,Traditional,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Relax,Traditional,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Table']"
Sleep,Minimalist,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Table', 'Chair']"
Play,Traditional,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Dining,Traditional,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Chair']"
Dining,Rustic,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,None,"['Sofa', 'Table']"
Work,Minimalist,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Traditional,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,No,No,Practical,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Table']"
Sleep,Minimalist,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,No,No,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Table', 'Chair']"
Play,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'Table']"
Dining,Industrial,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Work,Traditional,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Work,Minimalist,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Dining,Minimalist,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Relax,Rustic,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'TV', 'Table']"
Dining,Industrial,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,No,No,Yes,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Chair']"
Sleep,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,Yes,No,No,Practical,None,"['Sofa', 'Lamp', 'Table']"
Sleep,Minimalist,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Dining,Rustic,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Chair']"
Sleep,Rustic,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Dining,Minimalist,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Play,Modern,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,No,Practical,None,"['Sofa', 'Lamp']"
Dining,Minimalist,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Sleep,Rustic,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Rustic,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,No,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Work,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Table', 'Lamp']"
Work,Minimalist,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp']"
Play,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,No,Comfortable,None,"['Sofa', 'Chair']"
Work,Rustic,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Dining,Minimalist,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Practical,None,"['Sofa', 'Chair']"
Sleep,Minimalist,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Work,Traditional,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Table', 'Chair']"
Work,Modern,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Table']"
Play,Industrial,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Chair']"
Play,Modern,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Dining,Traditional,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'Chair']"
Sleep,Industrial,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Minimalist,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Work,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'Table', 'Table']"
Sleep,Minimalist,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Rustic,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Work,Traditional,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'Table', 'Lamp']"
Play,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,No,Practical,Durable,"['Sofa', 'Lamp']"
Work,Traditional,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Table', 'Chair']"
Sleep,Traditional,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Relax,Rustic,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Table', 'Chair']"
Relax,Industrial,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Table']"
Dining,Modern,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Chair']"
Work,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,None,"['Sofa', 'Table', 'Table']"
Work,Traditional,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Dining,Minimalist,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Dining,Rustic,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Dining,Minimalist,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Rustic,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Work,Minimalist,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,No,Practical,Durable,"['Sofa', 'Table']"
Sleep,Modern,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'Lamp']"
Dining,Modern,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Work,Modern,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Chair']"
Sleep,Modern,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Chair']"
Dining,Modern,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,No,No,Practical,Durable,"['Sofa', 'Table']"
Work,Rustic,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table', 'Table']"
Dining,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'Chair']"
Work,Minimalist,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Table', 'Chair']"
Play,Rustic,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Play,Rustic,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Lamp']"
Play,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Dining,Traditional,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Practical,None,"['Sofa', 'Chair']"
Relax,Minimalist,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Table', 'Chair']"
Work,Traditional,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Sleep,Industrial,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,None,"['Sofa', 'Chair']"
Work,Rustic,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'Table', 'Lamp']"
Sleep,Industrial,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,No,No,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Chair']"
Work,Modern,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Table', 'Lamp']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'TV', 'Lamp']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Dining,Minimalist,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Lamp']"
Work,Industrial,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table']"
Work,Minimalist,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Dining,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Dining,Minimalist,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Relax,Minimalist,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Dining,Modern,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Lamp', 'Table']"
Dining,Industrial,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Dining,Modern,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Minimalist,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'Lamp']"
Relax,Industrial,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Chair']"
Work,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,No,Practical,None,"['Sofa', 'Table', 'Lamp', 'Table']"
Sleep,Modern,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Work,Minimalist,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Traditional,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Comfortable,Easy to clean,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Practical,None,"['Sofa', 'Table']"
Relax,Rustic,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Easy to clean,"['Sofa', 'TV']"
Dining,Traditional,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Lamp', 'Table']"
Sleep,Industrial,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'TV']"
Dining,Traditional,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Table', 'Chair']"
Work,Industrial,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Table', 'Table']"
Work,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Sleep,Industrial,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'Window']"
Relax,Industrial,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,No,Practical,Durable,"['Sofa', 'TV', 'Lamp']"
Relax,Rustic,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Table', 'Chair']"
Dining,Minimalist,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Minimalist,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Comfortable,Durable,"['Sofa', 'Chair']"
Work,Rustic,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Durable,"['Sofa', 'Table', 'Lamp']"
Relax,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,None,"['Sofa', 'TV', 'Table']"
Relax,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Comfortable,None,"['Sofa', 'TV', 'Chair']"
Work,Modern,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Modern,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Lamp', 'Chair']"
Dining,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Sleep,Rustic,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,No,No,No,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Work,Industrial,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,No,Practical,Durable,"['Sofa', 'Table']"
Sleep,Modern,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Relax,Traditional,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Durable,"['Sofa', 'TV']"
Work,Modern,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Dining,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV']"
Play,Modern,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'Chair']"
Work,Rustic,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Rustic,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,No,Yes,No,Practical,None,"['Sofa', 'Lamp']"
Play,Rustic,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Lamp', 'Table']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Chair']"
Play,Traditional,Multifunctional,More than 20 sqm,No,Less than 1000 SAR,No,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Play,Traditional,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Table']"
Dining,Industrial,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'Chair']"
Play,Rustic,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Chair']"
Play,Minimalist,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Practical,Durable,"['Sofa', 'Table']"
Play,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,None,"['Sofa', 'Chair']"
Work,Traditional,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Work,Rustic,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Table', 'Chair']"
Work,Industrial,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,Yes,No,Yes,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Dining,Rustic,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Relax,Modern,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'TV', 'Lamp', 'Chair']"
Play,Rustic,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Play,Modern,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Dining,Modern,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,Yes,No,No,Practical,Durable,"['Sofa', 'Table']"
Play,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Work,Traditional,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Rustic,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'TV']"
